movie_weights,labels_weights,embedding_type,embedding_dimension,norma_type,class_edges_threshold,seen_percentage,data_name,awa2_attributes_weight,acc,seen_acc,unseen_acc
--,--,Node2Vec,--,--,--,0.8,our_imdb,100,1,1,1
--,--,Node2Vec,--,--,--,0.8,our_imdb,100,1,1,1
--,--,Node2Vec,--,--,--,0.8,our_imdb,100,1,1,1
--,--,Node2Vec,--,--,--,0.8,our_imdb,100,1,1,1
--,--,Node2Vec,--,--,--,0.8,our_imdb,100,1,1,1
--,--,Node2Vec,--,--,--,0.8,our_imdb,100,1,1,1
--,--,Node2Vec,--,--,--,0.8,our_imdb,100,1,1,1
--,--,Node2Vec,--,--,--,0.8,our_imdb,100,1,1,1
--,--,Node2Vec,--,--,--,0.8,our_imdb,100,1,1,1
--,--,Node2Vec,--,--,--,0.8,our_imdb,100,1,1,1
--,--,Node2Vec,--,--,--,0.8,our_imdb,100,1,1,1
--,--,Node2Vec,--,--,--,0.8,our_imdb,100,1,1,1
--,--,Node2Vec,--,--,--,0.8,our_imdb,100,1,1,1
--,--,Node2Vec,--,--,--,0.8,our_imdb,100,1,1,1
--,--,Node2Vec,--,--,--,0.8,our_imdb,100,1,1,1
--,--,Node2Vec,--,--,--,0.8,our_imdb,100,1,1,1
--,--,Node2Vec,--,--,--,0.8,our_imdb,100,1,1,1
--,--,Node2Vec,--,--,--,0.8,our_imdb,100,1,1,1
--,--,Node2Vec,--,--,--,0.8,our_imdb,100,1,1,1
--,--,Node2Vec,--,--,--,0.8,our_imdb,100,1,1,1
--,--,Node2Vec,--,--,--,0.8,our_imdb,100,1,1,1
--,--,Node2Vec,--,--,--,0.8,our_imdb,100,1,1,1
--,--,Node2Vec,--,--,--,0.8,our_imdb,100,1,1,1
--,--,Node2Vec,--,--,--,0.8,our_imdb,100,1,1,1
--,--,Node2Vec,--,--,--,0.8,our_imdb,100,1,1,1
--,--,Node2Vec,--,--,--,0.8,our_imdb,100,1,1,1
--,--,Node2Vec,--,--,--,0.8,our_imdb,100,1,1,1
--,--,Node2Vec,--,--,--,0.8,our_imdb,100,1,1,1
--,--,Node2Vec,--,--,--,0.8,our_imdb,100,1,1,1
